File Name,Hash
AFRICAN EMERALD CUCKOO.zip,4cb551287b7fc18abf18af63029677d2e65211801a5cc533369a2a3a22426d8c
AFRICAN PYGMY GOOSE.zip,7e5f7e14db71f421912289705b2e3528e12be2350d903f962609b3947c7f4109
ABBOTTS BABBLER.zip,d93f44fdb3e7a98b393fd876fc3914cad6ca00d6e8d6451c3e9322a773d3c762
ALBERTS TOWHEE.zip,d0279b629eaa8e7a564a86dbd03ec48500fda434319cc7c8c1deaba159aa774a
AFRICAN PIED HORNBILL.zip,114eea01477ab47da961f0161d2548445ff6c1396d03c8179d167cc0be90ebc4
AFRICAN CROWNED CRANE.zip,5a7805b921cc4377d8f83764b446add5a73d78985186f4388800751550629d6b
__MACOSX.zip,e31753984677a6771029068941935273aeb52bd71a1d309865356c44b4fd13cf
AFRICAN OYSTER CATCHER.zip,b7bee8d896d23f60e313b95d67e78a5d9443c5c26a3d078b8042c8dea5fc777b
ABYSSINIAN GROUND HORNBILL.zip,24791d27c4cf103653219856e156de1d06862d2d8833514d56867297b68c23a4
ALBATROSS.zip,c07b371cc021475488ffadb7d2b5db26d84074acf258af47f11b0764e2ac36d7
